,R,CoreCPI,IP,Consumption,Unemp,Credit,Spread,IV_GK,IV_MAR
199702,5.53,0.18,438.701417618492,889.877535906107,5.24519940915805,675.952205641892,1.21,0,0.0096889
199703,5.80,0.18,439.568296112137,890.146190138073,5.15118734868387,676.782632266093,1.21,0.0090322,0.0578045
199704,5.99,0.30,439.568296112137,890.139380421968,5.05308199035408,677.835249476996,1.22,0.0309677,0
199705,5.87,0.18,440.305400186596,890.203373452996,4.8891043866029,678.51581742675,1.17,-0.0348387,-0.0246317
199706,5.69,0.12,440.915530206214,890.694888359699,4.99152050862265,679.146862319076,1.15,-0.0551615,0
199707,5.54,0.18,441.642806139121,891.623773172148,4.87627951962602,679.670080569348,1.20,-0.0193548,-0.0014712
199708,5.56,0.06,442.843300748804,892.229823470885,4.83684433969169,680.516869020704,1.14,0.0035484,0.0144067
199709,5.52,0.24,443.793426661218,892.251162210113,4.869946954454,681.42903955707,1.15,0.0058064,0.0126804
199710,5.46,0.23,444.734610079452,892.760603924834,4.72360264357805,681.936112821954,1.28,0,0
199711,5.46,0.12,445.667017766965,893.169732417507,4.60569067106695,682.675127607903,1.31,0,0.010747
199712,5.53,0.23,446.129981556839,893.737612567802,4.72166526922096,683.31502602443,1.30,-0.0051613,0.0028737
199801,5.24,0.23,446.935046284556,893.649545631242,4.64495422881943,684.52413735929,1.35,-0.0048387,0
199802,5.31,0.17,447.049528266149,894.297060083628,4.59915981095747,685.354193592548,1.32,0,0.0192398
199803,5.39,0.17,446.935046284556,894.741595065013,4.67953015243814,685.869107726785,1.30,0,-0.0086875
199804,5.38,0.17,447.392189937814,895.273476710687,4.33175355450237,685.752457773721,1.21,0,0
199805,5.44,0.23,447.960696301275,895.994123897044,4.4019159654078,687.241821469245,1.21,-0.0041935,0.0104542
199806,5.41,0.17,447.163879336357,896.656034581153,4.51929722454621,689.017158802482,1.31,-0.0058064,0
199807,5.36,0.17,446.820433091493,896.719817415528,4.54908858330668,689.689653564726,1.36,0.00999,0.0101124
199808,5.21,0.29,449.200148788245,897.174048454366,4.49153158392091,690.395807873375,2.00,0.0045161,-0.0005511
199809,4.71,0.11,449.088103958596,897.915204807887,4.55577571120721,691.283236872242,2.12,0.0101504,0.0446023
199810,4.12,0.11,449.869794147758,898.252341730438,4.54154282284367,693.377384138069,2.26,-0.0717633,-0.2221654
199811,4.53,0.23,450.092016461429,898.524491693673,4.40811961179642,694.578297307879,2.00,-0.1129031,0.0062076
199812,4.52,0.34,450.645421304893,899.336525668235,4.35102500108199,694.277487208318,1.95,0,-0.0409072
199901,4.51,0.11,450.865928560725,899.252012669332,4.29918778731394,694.194412271884,1.91,0,0
199902,4.70,0.00,451.743127168008,899.724615651497,4.39744687587701,693.851724063218,1.78,0,0.0216142
199903,4.78,0.06,451.743127168008,900.202385490514,4.1685287969437,694.582147978859,1.67,-0.0012903,-0.0567597
199904,4.69,0.34,452.070102936164,900.799160266868,4.32069891118963,694.723557382579,1.62,-0.0187097,0
199905,4.85,0.11,452.936847257181,901.259650029469,4.16657680778106,694.28134947972,1.66,0.0180645,0.0586694
199906,5.10,0.06,452.612697864764,901.680416541463,4.27118546749062,695.094885906889,1.70,0.0196021,-0.0628007
199907,5.03,0.28,453.044663979216,901.850167049039,4.32088583538321,696.065128833563,1.75,-0.0676665,0
199908,5.20,0.11,453.68913452348,902.370954359413,4.18704726386,697.167798554483,1.97,0.003871,-0.0071916
199909,5.25,0.28,453.259949315326,902.871057586063,4.23643838363582,697.773832674938,2.03,0.0111289,0
199910,5.43,0.17,454.754107315146,903.091461829425,4.13390474418871,697.948972225776,2.09,0.0348387,0.0404586
199911,5.55,0.17,455.387689160054,903.582030427431,4.08212819139439,700.206495845288,2.05,0.0351663,0.0836243
199912,5.84,0.17,456.121829845891,904.771555451953,4.03275858379049,700.306545878646,1.86,0.0282309,0.0036856
